Município;Estado;Ano de Referência;IDHM
Barracão ;PR;2000;0,61
Barracão ;RS;2000;0,57
Barra da Estiva ;BA;2000;0,41
Barra D'Alcântara ;PI;2000;0,38
Barra de Guabiraba ;PE;2000;0,37
Barra de Santana ;PB;2000;0,41
Barra de Santa Rosa ;PB;2000;0,38
Barra de Santo Antônio ;AL;2000;0,38
Barra de São Francisco ;ES;2000;0,57
Barra de São Miguel ;AL;2000;0,44
Barra de São Miguel ;PB;2000;0,43
Barra do Bugres ;MT;2000;0,55
Barra do Chapéu ;SP;2000;0,49
Barra do Choça ;BA;2000;0,32
Barra do Corda ;MA;2000;0,42
Barra do Garças ;MT;2000;0,63
Barra do Guarita ;RS;2000;0,56
Barra do Jacaré ;PR;2000;0,66
Barra do Mendes ;BA;2000;0,47
Barra do Ouro ;TO;2000;0,36
Barra do Piraí ;RJ;2000;0,63
Barra do Quaraí ;RS;2000;0,55
Barra do Ribeiro ;RS;2000;0,62
Barra do Rio Azul ;RS;2000;0,56
Barra do Rocha ;BA;2000;0,39
Barra dos Coqueiros ;SE;2000;0,53
Barra do Turvo ;SP;2000;0,48
Barra Funda ;RS;2000;0,67
Barra Longa ;MG;2000;0,49
Barra Mansa ;RJ;2000;0,64
Barras ;PI;2000;0,42
Barra Velha ;SC;2000;0,63
Barreira ;CE;2000;0,46
Barreiras ;BA;2000;0,57
Barreiras do Piauí ;PI;2000;0,41
Barreirinha ;AM;2000;0,40
Barreirinhas ;MA;2000;0,36
Barreiros ;PE;2000;0,47
Barretos ;SP;2000;0,71
Barrinha ;SP;2000;0,59
Barro Alto ;BA;2000;0,44
Barro Alto ;GO;2000;0,54
Barrocas ;BA;2000;0,42
Barro ;CE;2000;0,44
Barro Duro ;PI;2000;0,48
Barrolândia ;TO;2000;0,50
Barro Preto ;BA;2000;0,42
Barroquinha ;CE;2000;0,36
Barros Cassal ;RS;2000;0,51
Barroso ;MG;2000;0,60
Barueri ;SP;2000;0,71
Bastos ;SP;2000;0,65
Bataguassu ;MS;2000;0,60
Batalha ;AL;2000;0,40
Batalha ;PI;2000;0,38
Batatais ;SP;2000;0,70
Batayporã ;MS;2000;0,51
Baturité ;CE;2000;0,49
Bauru ;SP;2000;0,74
Bayeux ;PB;2000;0,51
Bebedouro ;SP;2000;0,70
Beberibe ;CE;2000;0,46
Bela Cruz ;CE;2000;0,41
Belágua ;MA;2000;0,32
Bela Vista da Caroba ;PR;2000;0,55
Bela Vista de Goiás ;GO;2000;0,56
Bela Vista de Minas ;MG;2000;0,57
Bela Vista do Maranhão ;MA;2000;0,36
Bela Vista do Paraíso ;PR;2000;0,64
Bela Vista do Piauí ;PI;2000;0,30
Bela Vista do Toldo ;SC;2000;0,49
Bela Vista ;MS;2000;0,58
Belém ;AL;2000;0,42
Belém de Maria ;PE;2000;0,40
Belém do Brejo do Cruz ;PB;2000;0,42
Belém do Piauí ;PI;2000;0,32
Belém do São Francisco ;PE;2000;0,48
Belém ;PA;2000;0,64
Belém ;PB;2000;0,42
Belford Roxo ;RJ;2000;0,57
Belmiro Braga ;MG;2000;0,52
Belmonte ;BA;2000;0,44
Belmonte ;SC;2000;0,56
Belo Campo ;BA;2000;0,38
Belo Horizonte ;MG;2000;0,73
Belo Jardim ;PE;2000;0,48
Belo Monte ;AL;2000;0,33
Belo Oriente ;MG;2000;0,54
Belo Vale ;MG;2000;0,56
