Município;Estado;Ano de Referência;IDHM
Vassouras ;RJ;2010;0,71
Vazante ;MG;2010;0,74
Venâncio Aires ;RS;2010;0,71
Venda Nova do Imigrante ;ES;2010;0,73
Venha-Ver ;RN;2010;0,56
Ventania ;PR;2010;0,65
Venturosa ;PE;2010;0,59
Vera Cruz ;BA;2010;0,65
Vera Cruz do Oeste ;PR;2010;0,70
Vera Cruz ;RN;2010;0,59
Vera Cruz ;RS;2010;0,74
Vera Cruz ;SP;2010;0,75
Vera Mendes ;PI;2010;0,50
Vera ;MT;2010;0,68
Veranópolis ;RS;2010;0,77
Verdejante ;PE;2010;0,61
Verdelândia ;MG;2010;0,58
Vereda ;BA;2010;0,58
Veredinha ;MG;2010;0,63
Verê ;PR;2010;0,72
Veríssimo ;MG;2010;0,67
Vermelho Novo ;MG;2010;0,61
Vertente do Lério ;PE;2010;0,56
Vertentes ;PE;2010;0,58
Vespasiano Correa ;RS;2010;0,72
Vespasiano ;MG;2010;0,69
Viadutos ;RS;2010;0,70
Viamão ;RS;2010;0,72
Viana ;ES;2010;0,69
Viana ;MA;2010;0,62
Vianópolis ;GO;2010;0,71
Vicência ;PE;2010;0,61
Vicente Dutra ;RS;2010;0,64
Vicentina ;MS;2010;0,71
Vicentinópolis ;GO;2010;0,68
Viçosa ;AL;2010;0,59
Viçosa do Ceará ;CE;2010;0,57
Viçosa ;MG;2010;0,78
Viçosa ;RN;2010;0,59
Victor Graeff ;RS;2010;0,78
Vidal Ramos ;SC;2010;0,70
Videira ;SC;2010;0,76
Vieiras ;MG;2010;0,67
Vieirópolis ;PB;2010;0,57
Vigia ;PA;2010;0,62
Vila Bela da Santíssima Trindade ;MT;2010;0,65
Vila Boa ;GO;2010;0,65
Vila Flores ;RS;2010;0,74
Vila Flor ;RN;2010;0,58
Vila Lângaro ;RS;2010;0,71
Vila Maria ;RS;2010;0,76
Vila Nova do Piauí ;PI;2010;0,57
Vila Nova dos Martírios ;MA;2010;0,58
Vila Nova do Sul ;RS;2010;0,66
Vila Pavão ;ES;2010;0,68
Vila Propício ;GO;2010;0,63
Vila Rica ;MT;2010;0,69
Vila Valério ;ES;2010;0,68
Vila Velha ;ES;2010;0,80
Vilhena ;RO;2010;0,73
Vinhedo ;SP;2010;0,82
Viradouro ;SP;2010;0,74
Virgem da Lapa ;MG;2010;0,61
Virgínia ;MG;2010;0,65
Virginópolis ;MG;2010;0,68
Virgolândia ;MG;2010;0,62
Virmond ;PR;2010;0,72
Visconde do Rio Branco ;MG;2010;0,71
Viseu ;PA;2010;0,52
Vista Alegre do Alto ;SP;2010;0,74
Vista Alegre do Prata ;RS;2010;0,78
Vista Alegre ;RS;2010;0,74
Vista Gaúcha ;RS;2010;0,76
Vista Serrana ;PB;2010;0,57
Vitória Brasil ;SP;2010;0,73
Vitória da Conquista ;BA;2010;0,68
Vitória das Missões ;RS;2010;0,66
Vitória de Santo Antão ;PE;2010;0,64
Vitória do Jari ;AP;2010;0,62
Vitória do Mearim ;MA;2010;0,60
Vitória do Xingu ;PA;2010;0,60
Vitória ;ES;2010;0,85
Vitorino Freire ;MA;2010;0,57
Vitorino ;PR;2010;0,70
Vitor Meireles ;SC;2010;0,67
Volta Grande ;MG;2010;0,67
Volta Redonda ;RJ;2010;0,77
Votorantim ;SP;2010;0,77
Votuporanga ;SP;2010;0,79
Wagner ;BA;2010;0,59
Wall Ferraz ;PI;2010;0,54
Wanderlândia ;TO;2010;0,64
Wanderley ;BA;2010;0,60
Wenceslau Braz ;MG;2010;0,68
Wenceslau Braz ;PR;2010;0,69
Wenceslau Guimarães ;BA;2010;0,54
Westfalia ;RS;2010;0,75
Witmarsum ;SC;2010;0,71
Xambioá ;TO;2010;0,67
Xambrê ;PR;2010;0,71
Xangri-Lá ;RS;2010;0,74
Xanxerê ;SC;2010;0,78
Xapuri ;AC;2010;0,60
Xavantina ;SC;2010;0,75
Xaxim ;SC;2010;0,75
Xexéu ;PE;2010;0,55
Xinguara ;PA;2010;0,65
Xique-Xique ;BA;2010;0,59
Zabelê ;PB;2010;0,62
Zacarias ;SP;2010;0,73
Zé Doca ;MA;2010;0,60
Zortéa ;SC;2010;0,76
Abadia de Goiás ;GO;2011;0,72
Abadia dos Dourados ;MG;2011;0,70
Abadiânia ;GO;2011;0,71
Abaeté ;MG;2011;0,71
Abaetetuba ;PA;2011;0,64
Abaiara ;CE;2011;0,64
Abaíra ;BA;2011;0,61
Abaré ;BA;2011;0,59
Abatiá ;PR;2011;0,70
Abdon Batista ;SC;2011;0,70
Abelardo Luz ;SC;2011;0,71
Abel Figueiredo ;PA;2011;0,63
Abre Campo ;MG;2011;0,66
Abreu E Lima ;PE;2011;0,69
Abreulândia ;TO;2011;0,68
Acaiaca ;MG;2011;0,64
Açailândia ;MA;2011;0,69
Acajutiba ;BA;2011;0,60
Acará ;PA;2011;0,52
Acarape ;CE;2011;0,62
Acaraú ;CE;2011;0,62
Acari ;RN;2011;0,69
Acauã ;PI;2011;0,55
Aceguá ;RS;2011;0,69
Acopiara ;CE;2011;0,61
Acorizal ;MT;2011;0,64
Acrelândia ;AC;2011;0,62
Acreúna ;GO;2011;0,70
Açucena ;MG;2011;0,63
Açu ;RN;2011;0,67
Adamantina ;SP;2011;0,80
Adelândia ;GO;2011;0,72
Adolfo ;SP;2011;0,74
Adrianópolis ;PR;2011;0,68
Adustina ;BA;2011;0,56
Afogados da Ingazeira ;PE;2011;0,67
Afonso Bezerra ;RN;2011;0,60
Afonso Cláudio ;ES;2011;0,68
Afonso Cunha ;MA;2011;0,55
Afrânio ;PE;2011;0,61
Afuá ;PA;2011;0,50
Agrestina ;PE;2011;0,61
Agricolândia ;PI;2011;0,61
Agrolândia ;SC;2011;0,74
Agronômica ;SC;2011;0,75
Água Azul do Norte ;PA;2011;0,58
Água Boa ;MG;2011;0,59
Água Boa ;MT;2011;0,74
Água Branca ;AL;2011;0,56
Água Branca ;PB;2011;0,59
Água Branca ;PI;2011;0,65
Água Clara ;MS;2011;0,68
Água Comprida ;MG;2011;0,68
Água Doce do Maranhão ;MA;2011;0,52
Água Doce do Norte ;ES;2011;0,66
Água Doce ;SC;2011;0,70
Água Fria ;BA;2011;0,57
Água Fria de Goiás ;GO;2011;0,69
Aguaí ;SP;2011;0,72
Água Limpa ;GO;2011;0,73
Aguanil ;MG;2011;0,67
Água Nova ;RN;2011;0,63
Água Preta ;PE;2011;0,57
Água Santa ;RS;2011;0,76
Águas Belas ;PE;2011;0,54
Águas da Prata ;SP;2011;0,79
Águas de Chapecó ;SC;2011;0,72
Águas de Lindóia ;SP;2011;0,75
Águas de Santa Bárbara ;SP;2011;0,77
Águas de São Pedro ;SP;2011;0,86
Águas Formosas ;MG;2011;0,66
Águas Frias ;SC;2011;0,76
Águas Lindas de Goiás ;GO;2011;0,70
Águas Mornas ;SC;2011;0,74
Águas Vermelhas ;MG;2011;0,61
Agudo ;RS;2011;0,70
Agudos do Sul ;PR;2011;0,67
Agudos ;SP;2011;0,75
Águia Branca ;ES;2011;0,69
Aguiarnópolis ;TO;2011;0,67
Aguiar ;PB;2011;0,62
Aimorés ;MG;2011;0,69
Aiquara ;BA;2011;0,60
Aiuaba ;CE;2011;0,59
Aiuruoca ;MG;2011;0,68
Ajuricaba ;RS;2011;0,76
Alagoa Grande ;PB;2011;0,60
Alagoa ;MG;2011;0,66
Alagoa Nova ;PB;2011;0,59
Alagoinha do Piauí ;PI;2011;0,55
Alagoinha ;PB;2011;0,61
Alagoinha ;PE;2011;0,61
Alagoinhas ;BA;2011;0,70
Alambari ;SP;2011;0,72
Albertina ;MG;2011;0,68
Alcântara ;MA;2011;0,59
Alcântaras ;CE;2011;0,62
Alcantil ;PB;2011;0,59
Alcinópolis ;MS;2011;0,73
Alcobaça ;BA;2011;0,62
Aldeias Altas ;MA;2011;0,53
Alecrim ;RS;2011;0,68
Alegre ;ES;2011;0,73
Alegrete do Piauí ;PI;2011;0,60
Alegrete ;RS;2011;0,75
Alegria ;RS;2011;0,71
Além Paraíba ;MG;2011;0,73
Alenquer ;PA;2011;0,58
Alexandria ;RN;2011;0,62
Alexânia ;GO;2011;0,70
Alfenas ;MG;2011;0,77
Alfredo Chaves ;ES;2011;0,72
Alfredo Marcondes ;SP;2011;0,75
Alfredo Vasconcelos ;MG;2011;0,68
Alfredo Wagner ;SC;2011;0,68
Algodão de Jandaíra ;PB;2011;0,57
Alhandra ;PB;2011;0,60
Aliança do Tocantins ;TO;2011;0,67
Aliança ;PE;2011;0,62
Almadina ;BA;2011;0,58
Almas ;TO;2011;0,66
Almeirim ;PA;2011;0,65
Almenara ;MG;2011;0,65
Almino Afonso ;RN;2011;0,64
Almirante Tamandaré do Sul ;RS;2011;0,75
Almirante Tamandaré ;PR;2011;0,71
Aloândia ;GO;2011;0,71
Alpercata ;MG;2011;0,65
Alpestre ;RS;2011;0,68
Alpinópolis ;MG;2011;0,73
Alta Floresta D'Oeste ;RO;2011;0,66
Alta Floresta ;MT;2011;0,73
Altair ;SP;2011;0,69
Altamira do Maranhão ;MA;2011;0,56
Altamira do Paraná ;PR;2011;0,68
Altamira ;PA;2011;0,68
Altaneira ;CE;2011;0,62
Alterosa ;MG;2011;0,68
Altinho ;PE;2011;0,61
Altinópolis ;SP;2011;0,74
Alto Alegre do Maranhão ;MA;2011;0,57
Alto Alegre do Pindaré ;MA;2011;0,58
Alto Alegre dos Parecis ;RO;2011;0,61
Alto Alegre ;RR;2011;0,55
Alto Alegre ;RS;2011;0,75
Alto Alegre ;SP;2011;0,71
Alto Araguaia ;MT;2011;0,72
Alto Bela Vista ;SC;2011;0,77
Alto Boa Vista ;MT;2011;0,67
Alto Caparaó ;MG;2011;0,67
Alto do Rodrigues ;RN;2011;0,69
Alto Feliz ;RS;2011;0,74
Alto Garças ;MT;2011;0,71
Alto Horizonte ;GO;2011;0,73
Alto Jequitibá ;MG;2011;0,67
Alto Longá ;PI;2011;0,60
Altônia ;PR;2011;0,73
Alto Paraguai ;MT;2011;0,65
Alto Paraíso de Goiás ;GO;2011;0,73
Alto Paraíso ;PR;2011;0,69
Alto Paraíso ;RO;2011;0,64
Alto Paraná ;PR;2011;0,70
Alto Parnaíba ;MA;2011;0,65
Alto Piquiri ;PR;2011;0,68
Alto Rio Doce ;MG;2011;0,63
Alto Rio Novo ;ES;2011;0,67
Alto Santo ;CE;2011;0,62
Altos ;PI;2011;0,63
Alto Taquari ;MT;2011;0,71
Alumínio ;SP;2011;0,77
Alvarães ;AM;2011;0,54
Alvarenga ;MG;2011;0,60
Álvares Florence ;SP;2011;0,73
Álvares Machado ;SP;2011;0,77
Álvaro de Carvalho ;SP;2011;0,70
Alvinlândia ;SP;2011;0,74
Alvinópolis ;MG;2011;0,69
Alvorada de Minas ;MG;2011;0,58
Alvorada D'Oeste ;RO;2011;0,66
Alvorada do Gurguéia ;PI;2011;0,59
Alvorada do Norte ;GO;2011;0,67
Alvorada do Sul ;PR;2011;0,71
Alvorada ;RS;2011;0,71
Alvorada ;TO;2011;0,72
Amajari ;RR;2011;0,49
Amambai ;MS;2011;0,68
Amapá ;AP;2011;0,66
Amapá do Maranhão ;MA;2011;0,54
Amaporã ;PR;2011;0,68
Amaraji ;PE;2011;0,59
Amaral Ferrador ;RS;2011;0,63
Amaralina ;GO;2011;0,62
Amarante do Maranhão ;MA;2011;0,57
Amarante ;PI;2011;0,61
Amargosa ;BA;2011;0,64
Amaturá ;AM;2011;0,57
Amélia Rodrigues ;BA;2011;0,68
América Dourada ;BA;2011;0,58
Americana ;SP;2011;0,82
Americano do Brasil ;GO;2011;0,71
Américo Brasiliense ;SP;2011;0,76
Américo de Campos ;SP;2011;0,75
Ametista do Sul ;RS;2011;0,70
Amontada ;CE;2011;0,62
Amorinópolis ;GO;2011;0,69
Amparo de São Francisco ;SE;2011;0,63
Amparo do Serra ;MG;2011;0,66
Amparo ;PB;2011;0,63
Amparo ;SP;2011;0,79
Ampére ;PR;2011;0,72
Anadia ;AL;2011;0,58
Anagé ;BA;2011;0,56
Anahy ;PR;2011;0,70
Anajás ;PA;2011;0,50
Anajatuba ;MA;2011;0,60
Analândia ;SP;2011;0,76
Anamã ;AM;2011;0,61
Ananás ;TO;2011;0,69
Ananindeua ;PA;2011;0,73
Anápolis ;GO;2011;0,75
Anapu ;PA;2011;0,56
Anapurus ;MA;2011;0,60
Anastácio ;MS;2011;0,68
Anaurilândia ;MS;2011;0,68
Anchieta ;ES;2011;0,74
Anchieta ;SC;2011;0,71
Andaraí ;BA;2011;0,57
Andirá ;PR;2011;0,73
Andorinha ;BA;2011;0,61
Andradas ;MG;2011;0,74
Andradina ;SP;2011;0,78
André da Rocha ;RS;2011;0,73
Andrelândia ;MG;2011;0,71
Angatuba ;SP;2011;0,73
Angelândia ;MG;2011;0,61
Angélica ;MS;2011;0,71
Angelim ;PE;2011;0,58
Angelina ;SC;2011;0,70
Angical ;BA;2011;0,64
Angical do Piauí ;PI;2011;0,64
Angicos ;RN;2011;0,63
Angico ;TO;2011;0,66
Angra dos Reis ;RJ;2011;0,74
Anguera ;BA;2011;0,60
Ângulo ;PR;2011;0,73
Anhanguera ;GO;2011;0,74
Anhembi ;SP;2011;0,73
Anhumas ;SP;2011;0,76
Anicuns ;GO;2011;0,72
Anísio de Abreu ;PI;2011;0,61
Anita Garibaldi ;SC;2011;0,70
Anitápolis ;SC;2011;0,69
Anori ;AM;2011;0,57
Anta Gorda ;RS;2011;0,75
Antas ;BA;2011;0,61
Antonina do Norte ;CE;2011;0,61
Antonina ;PR;2011;0,70
Antônio Almeida ;PI;2011;0,63
Antônio Cardoso ;BA;2011;0,58
Antônio Carlos ;MG;2011;0,69
Antônio Carlos ;SC;2011;0,76
Antônio Dias ;MG;2011;0,66
Antônio Gonçalves ;BA;2011;0,61
Antônio João ;MS;2011;0,66
Antônio Martins ;RN;2011;0,59
Antônio Olinto ;PR;2011;0,67
Antônio Prado de Minas ;MG;2011;0,69
Antônio Prado ;RS;2011;0,76
Aparecida de Goiânia ;GO;2011;0,73
Aparecida D'Oeste ;SP;2011;0,73
Aparecida do Rio Doce ;GO;2011;0,70
Aparecida do Rio Negro ;TO;2011;0,67
Aparecida do Taboado ;MS;2011;0,71
Aparecida ;PB;2011;0,59
Aparecida ;SP;2011;0,76
Aperibé ;RJ;2011;0,70
Apiacá ;ES;2011;0,68
Apiacás ;MT;2011;0,69
Apiaí ;SP;2011;0,72
Apicum-Açu ;MA;2011;0,59
Apiúna ;SC;2011;0,72
Apodi ;RN;2011;0,65
Aporá ;BA;2011;0,56
Aporé ;GO;2011;0,70
Apuarema ;BA;2011;0,57
Apucarana ;PR;2011;0,76
Apuí ;AM;2011;0,66
Apuiarés ;CE;2011;0,64
Aquidabã ;SE;2011;0,59
Aquidauana ;MS;2011;0,70
Aquiraz ;CE;2011;0,65
Arabutã ;SC;2011;0,74
Araçagi ;PB;2011;0,56
Araçaí ;MG;2011;0,71
Aracaju ;SE;2011;0,78
Araçariguama ;SP;2011;0,71
Araças ;BA;2011;0,59
Aracati ;CE;2011;0,67
Aracatu ;BA;2011;0,60
Araçatuba ;SP;2011;0,79
Araci ;BA;2011;0,55
Aracitaba ;MG;2011;0,67
Aracoiaba ;CE;2011;0,63
Araçoiaba da Serra ;SP;2011;0,79
Araçoiaba ;PE;2011;0,61
Aracruz ;ES;2011;0,76
Araçuaí ;MG;2011;0,68
Araçu ;GO;2011;0,70
Aragarças ;GO;2011;0,74
Aragoiânia ;GO;2011;0,70
Aragominas ;TO;2011;0,61
Araguacema ;TO;2011;0,65
Araguaçu ;TO;2011;0,69
Araguaiana ;MT;2011;0,70
Araguaína ;TO;2011;0,77
Araguainha ;MT;2011;0,71
Araguanã ;MA;2011;0,55
Araguanã ;TO;2011;0,62
Araguapaz ;GO;2011;0,69
Araguari ;MG;2011;0,78
Araguatins ;TO;2011;0,65
Araioses ;MA;2011;0,54
Aral Moreira ;MS;2011;0,64
Aramari ;BA;2011;0,60
Arambaré ;RS;2011;0,70
Arame ;MA;2011;0,53
Aramina ;SP;2011;0,75
Arandu ;SP;2011;0,69
Arantina ;MG;2011;0,71
Arapeí ;SP;2011;0,69
Arapiraca ;AL;2011;0,66
Arapoema ;TO;2011;0,70
Araponga ;MG;2011;0,55
Arapongas ;PR;2011;0,76
Araporã ;MG;2011;0,72
Arapoti ;PR;2011;0,73
Arapuá ;MG;2011;0,73
Arapuã ;PR;2011;0,69
Araputanga ;MT;2011;0,74
Araquari ;SC;2011;0,71
Araranguá ;SC;2011;0,77
Arara ;PB;2011;0,56
Araraquara ;SP;2011;0,82
Araras ;SP;2011;0,79
Ararendá ;CE;2011;0,60
Araricá ;RS;2011;0,69
Arari ;MA;2011;0,64
Araripe ;CE;2011;0,58
Araripina ;PE;2011;0,62
Araruama ;RJ;2011;0,73
Araruna ;PB;2011;0,58
Araruna ;PR;2011;0,71
Arataca ;BA;2011;0,58
Aratiba ;RS;2011;0,79
Aratuba ;CE;2011;0,64
Aratuípe ;BA;2011;0,59
Arauá ;SE;2011;0,61
Araucária ;PR;2011;0,75
Araújos ;MG;2011;0,71
Araxá ;MG;2011;0,78
Arceburgo ;MG;2011;0,69
Arco-Íris ;SP;2011;0,73
Arcos ;MG;2011;0,76
Arcoverde ;PE;2011;0,68
Areado ;MG;2011;0,74
Areal ;RJ;2011;0,69
Arealva ;SP;2011;0,75
Areia Branca ;RN;2011;0,69
Areia Branca ;SE;2011;0,59
Areia de Baraúnas ;PB;2011;0,58
Areial ;PB;2011;0,62
Areia ;PB;2011;0,61
Areias ;SP;2011;0,71
Areiópolis ;SP;2011;0,71
Arenápolis ;MT;2011;0,71
Arenópolis ;GO;2011;0,70
Arês ;RN;2011;0,62
Argirita ;MG;2011;0,65
Aricanduva ;MG;2011;0,60
Arinos ;MG;2011;0,67
Aripuanã ;MT;2011;0,69
Ariquemes ;RO;2011;0,72
Ariranha do Ivaí ;PR;2011;0,68
Ariranha ;SP;2011;0,74
Armação dos Búzios ;RJ;2011;0,74
Armazém ;SC;2011;0,78
Arneiroz ;CE;2011;0,64
Aroazes ;PI;2011;0,60
Aroeiras do Itaim ;PI;2011;0,55
Aroeiras ;PB;2011;0,56
Arraial do Cabo ;RJ;2011;0,74
Arraial ;PI;2011;0,57
Arraias ;TO;2011;0,67
Arroio do Meio ;RS;2011;0,78
Arroio do Padre ;RS;2011;0,68
Arroio do Sal ;RS;2011;0,75
Arroio dos Ratos ;RS;2011;0,71
Arroio do Tigre ;RS;2011;0,72
Arroio Grande ;RS;2011;0,66
Arroio Trinta ;SC;2011;0,77
Artur Nogueira ;SP;2011;0,76
Aruanã ;GO;2011;0,69
Arujá ;SP;2011;0,79
Arvoredo ;SC;2011;0,73
Arvorezinha ;RS;2011;0,70
Ascurra ;SC;2011;0,75
Aspásia ;SP;2011;0,74
Assaí ;PR;2011;0,74
Assaré ;CE;2011;0,62
Assis Brasil ;AC;2011;0,60
Assis Chateaubriand ;PR;2011;0,73
Assis ;SP;2011;0,81
Assunção do Piauí ;PI;2011;0,51
Assunção ;PB;2011;0,63
Astolfo Dutra ;MG;2011;0,70
Astorga ;PR;2011;0,76
Atalaia ;AL;2011;0,58
Atalaia do Norte ;AM;2011;0,46
Atalaia ;PR;2011;0,74
Atalanta ;SC;2011;0,75
Ataléia ;MG;2011;0,60
Atibaia ;SP;2011;0,77
Atilio Vivacqua ;ES;2011;0,72
Augustinópolis ;TO;2011;0,69
Augusto Corrêa ;PA;2011;0,54
Augusto de Lima ;MG;2011;0,67
Augusto Pestana ;RS;2011;0,75
Augusto Severo ;RN;2011;0,64
Áurea ;RS;2011;0,72
Aurelino Leal ;BA;2011;0,59
Auriflama ;SP;2011;0,78
Aurilândia ;GO;2011;0,71
Aurora ;CE;2011;0,62
Aurora do Pará ;PA;2011;0,53
Aurora do Tocantins ;TO;2011;0,69
Aurora ;SC;2011;0,75
Autazes ;AM;2011;0,59
Avaí ;SP;2011;0,72
Avanhandava ;SP;2011;0,71
Avaré ;SP;2011;0,77
Aveiro ;PA;2011;0,56
Avelino Lopes ;PI;2011;0,57
Avelinópolis ;GO;2011;0,67
Axixá do Tocantins ;TO;2011;0,64
Axixá ;MA;2011;0,66
Babaçulândia ;TO;2011;0,66
Bacabal ;MA;2011;0,67
Bacabeira ;MA;2011;0,65
Bacuri ;MA;2011;0,59
Bacurituba ;MA;2011;0,55
Bady Bassitt ;SP;2011;0,75
Baependi ;MG;2011;0,69
Bagé ;RS;2011;0,75
Bagre ;PA;2011;0,48
Baía da Traição ;PB;2011;0,60
Baía Formosa ;RN;2011;0,62
Baianópolis ;BA;2011;0,61
Baião ;PA;2011;0,59
Baixa Grande ;BA;2011;0,60
Baixa Grande do Ribeiro ;PI;2011;0,58
Baixio ;CE;2011;0,64
Baixo Guandu ;ES;2011;0,71
Balbinos ;SP;2011;0,67
Baldim ;MG;2011;0,68
Baliza ;GO;2011;0,67
Balneário Arroio do Silva ;SC;2011;0,75
Balneário Barra do Sul ;SC;2011;0,72
Balneário Camboriú ;SC;2011;0,85
Balneário Gaivota ;SC;2011;0,74
Balneário Piçarras ;SC;2011;0,77
Balneário Pinhal ;RS;2011;0,70
Bálsamo ;SP;2011;0,76
Balsa Nova ;PR;2011;0,70
Balsas ;MA;2011;0,70
Bambuí ;MG;2011;0,75
Banabuiú ;CE;2011;0,62
Bananal ;SP;2011;0,74
Bananeiras ;PB;2011;0,58
Bandeira do Sul ;MG;2011;0,71
Bandeira ;MG;2011;0,61
Bandeirante ;SC;2011;0,68
Bandeirantes do Tocantins ;TO;2011;0,66
Bandeirantes ;MS;2011;0,69
Bandeirantes ;PR;2011;0,73
Bannach ;PA;2011;0,61
Banzaê ;BA;2011;0,60
Barão de Antonina ;SP;2011;0,72
Barão de Cocais ;MG;2011;0,73
Barão de Cotegipe ;RS;2011;0,73
Barão de Grajaú ;MA;2011;0,61
Barão de Melgaço ;MT;2011;0,61
Barão de Monte Alto ;MG;2011;0,66
Barão do Triunfo ;RS;2011;0,62
Barão ;RS;2011;0,76
Baraúna ;PB;2011;0,57
Baraúna ;RN;2011;0,59
Barbacena ;MG;2011;0,78
Barbalha ;CE;2011;0,70
Barbosa Ferraz ;PR;2011;0,71
Barbosa ;SP;2011;0,71
Barcarena ;PA;2011;0,67
Barcelona ;RN;2011;0,58
Barcelos ;AM;2011;0,51
Bariri ;SP;2011;0,75
Barra ;BA;2011;0,57
Barra Bonita ;SC;2011;0,72
Barra Bonita ;SP;2011;0,80
Barracão ;PR;2011;0,71
Barracão ;RS;2011;0,72
Barra da Estiva ;BA;2011;0,59
Barra D'Alcântara ;PI;2011;0,60
Barra de Guabiraba ;PE;2011;0,60
Barra de Santana ;PB;2011;0,58
Barra de Santa Rosa ;PB;2011;0,58
Barra de Santo Antônio ;AL;2011;0,57
Barra de São Francisco ;ES;2011;0,69
Barra de São Miguel ;AL;2011;0,63
Barra de São Miguel ;PB;2011;0,59
Barra do Bugres ;MT;2011;0,71
Barra do Chapéu ;SP;2011;0,68
Barra do Choça ;BA;2011;0,57
Barra do Corda ;MA;2011;0,62
Barra do Garças ;MT;2011;0,76
Barra do Guarita ;RS;2011;0,75
Barra do Jacaré ;PR;2011;0,75
Barra do Mendes ;BA;2011;0,64
Barra do Ouro ;TO;2011;0,63
Barra do Piraí ;RJ;2011;0,74
Barra do Quaraí ;RS;2011;0,67
Barra do Ribeiro ;RS;2011;0,67
Barra do Rio Azul ;RS;2011;0,74
Barra do Rocha ;BA;2011;0,59
Barra dos Coqueiros ;SE;2011;0,66
Barra do Turvo ;SP;2011;0,66
Barra Funda ;RS;2011;0,77
Barra Longa ;MG;2011;0,64
Barra Mansa ;RJ;2011;0,74
Barras ;PI;2011;0,61
Barra Velha ;SC;2011;0,75
Barreira ;CE;2011;0,63
Barreiras ;BA;2011;0,73
Barreiras do Piauí ;PI;2011;0,57
Barreirinha ;AM;2011;0,59
Barreirinhas ;MA;2011;0,59
Barreiros ;PE;2011;0,60
Barretos ;SP;2011;0,80
Barrinha ;SP;2011;0,74
Barro Alto ;BA;2011;0,62
Barro Alto ;GO;2011;0,76
Barrocas ;BA;2011;0,63
Barro ;CE;2011;0,61
Barro Duro ;PI;2011;0,62
Barrolândia ;TO;2011;0,66
Barro Preto ;BA;2011;0,62
Barroquinha ;CE;2011;0,59
Barros Cassal ;RS;2011;0,66
Barroso ;MG;2011;0,75
Barueri ;SP;2011;0,79
Bastos ;SP;2011;0,76
Bataguassu ;MS;2011;0,72
Batalha ;AL;2011;0,61
Batalha ;PI;2011;0,56
Batatais ;SP;2011;0,77
Batayporã ;MS;2011;0,70
Baturité ;CE;2011;0,63
Bauru ;SP;2011;0,81
Bayeux ;PB;2011;0,66
Bebedouro ;SP;2011;0,79
Beberibe ;CE;2011;0,65
Bela Cruz ;CE;2011;0,64
Belágua ;MA;2011;0,53
Bela Vista da Caroba ;PR;2011;0,69
Bela Vista de Goiás ;GO;2011;0,73
Bela Vista de Minas ;MG;2011;0,68
Bela Vista do Maranhão ;MA;2011;0,57
Bela Vista do Paraíso ;PR;2011;0,72
Bela Vista do Piauí ;PI;2011;0,60
Bela Vista do Toldo ;SC;2011;0,69
Bela Vista ;MS;2011;0,71
Belém ;AL;2011;0,61
Belém de Maria ;PE;2011;0,59
Belém do Brejo do Cruz ;PB;2011;0,59
Belém do Piauí ;PI;2011;0,57
Belém do São Francisco ;PE;2011;0,66
Belém ;PA;2011;0,76
Belém ;PB;2011;0,61
Belford Roxo ;RJ;2011;0,69
Belmiro Braga ;MG;2011;0,67
Belmonte ;BA;2011;0,61
Belmonte ;SC;2011;0,72
Belo Campo ;BA;2011;0,59
Belo Horizonte ;MG;2011;0,82
Belo Jardim ;PE;2011;0,64
Belo Monte ;AL;2011;0,53
Belo Oriente ;MG;2011;0,70
Belo Vale ;MG;2011;0,66
Belterra ;PA;2011;0,61
Beneditinos ;PI;2011;0,57
Benedito Leite ;MA;2011;0,56
Benedito Novo ;SC;2011;0,75
Benevides ;PA;2011;0,68
Benjamin Constant ;AM;2011;0,59
Benjamin Constant do Sul ;RS;2011;0,63
Bento de Abreu ;SP;2011;0,75
Bento Fernandes ;RN;2011;0,60
Bento Gonçalves ;RS;2011;0,78
Bequimão ;MA;2011;0,62
Berilo ;MG;2011;0,64
Berizal ;MG;2011;0,62
Bernardino Batista ;PB;2011;0,57
Bernardino de Campos ;SP;2011;0,74
Bernardo do Mearim ;MA;2011;0,62
Bernardo Sayão ;TO;2011;0,65
Bertioga ;SP;2011;0,74
Bertolínia ;PI;2011;0,63
Bertópolis ;MG;2011;0,61
Beruri ;AM;2011;0,52
Betânia do Piauí ;PI;2011;0,51
Betânia ;PE;2011;0,57
Betim ;MG;2011;0,76
Bezerros ;PE;2011;0,62
Bias Fortes ;MG;2011;0,63
Bicas ;MG;2011;0,75
Biguaçu ;SC;2011;0,75
Bilac ;SP;2011;0,77
Biquinhas ;MG;2011;0,70
Birigui ;SP;2011;0,79
Biritiba-Mirim ;SP;2011;0,72
Biritinga ;BA;2011;0,55
Bituruna ;PR;2011;0,68
Blumenau ;SC;2011;0,81
Boa Esperança do Iguaçu ;PR;2011;0,71
Boa Esperança do Sul ;SP;2011;0,69
Boa Esperança ;ES;2011;0,69
Boa Esperança ;MG;2011;0,71
Boa Esperança ;PR;2011;0,73
Boa Hora ;PI;2011;0,60
Boa Nova ;BA;2011;0,59
Boa Ventura de São Roque ;PR;2011;0,67
Boa Ventura ;PB;2011;0,62
Boa Viagem ;CE;2011;0,61
Boa Vista da Aparecida ;PR;2011;0,68
Boa Vista das Missões ;RS;2011;0,68
Boa Vista do Buricá ;RS;2011;0,77
Boa Vista do Cadeado ;RS;2011;0,71
Boa Vista do Gurupi ;MA;2011;0,56
